order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,order_month,order_year,revenue,discount_amount,net_sales,cost_price,profit
O00018,2025-03-05,C0327,P0747,S059,In-Store,1,127.24,0.05,120.88,3,2025,127.24,0.06,127.18,84.49,42.75
O00019,2024-04-28,C0616,P0255,Online,Online,10,21.15,0.2,169.2,4,2024,211.5,0.42,211.08,17.85,33.0
O00020,2025-03-15,C0471,P0647,Online,Online,2,139.35,0.1,250.83,3,2025,278.7,0.28,278.42,105.87,66.96
O00021,2024-11-27,C0511,P0933,Online,Online,2,25.25,0.1,45.45,11,2024,50.5,0.05,50.45,13.75,23.0
O00022,2025-06-28,C0681,P0070,S019,In-Store,2,235.0,0.0,470.0,6,2025,470.0,0.0,470.0,0.0,67.74
O00023,2025-10-10,C0723,P1175,S053,In-Store,2,26.47,0.05,50.29,10,2025,52.94,0.03,52.91,23.03,6.88
O00024,2025-07-16,C0721,P0771,Online,Online,2,155.11,0.1,279.2,7,2025,310.22,0.31,309.91,81.54,147.14
O00025,2025-05-19,C0733,P0431,S059,In-Store,1,39.3,0.05,37.33,5,2025,39.3,0.02,39.28,21.12,18.18
O00026,2025-03-07,C0053,P0366,S046,In-Store,2,230.23,0.2,368.37,3,2025,460.46,0.92,459.54,183.08,94.3
O00027,2025-04-03,C0675,P0326,S035,In-Store,2,134.39,0.2,215.02,4,2025,268.78,0.54,268.24,95.57,77.64
O00028,2024-08-17,C0694,P0969,S048,In-Store,2,171.98,0.2,275.17,8,2024,343.96,0.69,343.27,90.71,162.54
O00029,2025-07-12,C0540,P0579,Online,Online,1,137.64,0.05,130.76,7,2025,137.64,0.07,137.57,74.19,63.45
O00030,2025-10-21,C0561,P0806,Online,Online,1,38.24,0.1,34.42,10,2025,38.24,0.04,38.2,24.55,13.69
O00031,2025-02-18,C0594,P0110,S045,In-Store,3,280.19,0.1,756.51,2,2025,840.57,0.84,839.73,170.81,328.14
O00032,2025-01-27,C0167,P1182,Online,Online,1,275.08,0.2,220.06,1,2025,275.08,0.55,274.53,167.92,107.16
O00033,2025-06-19,C0148,P0429,Online,Online,1,257.83,0.05,244.94,6,2025,257.83,0.13,257.7,138.39,119.44
O00034,2025-06-04,C0009,P0741,S036,In-Store,2,25.86,0.0,51.72,6,2025,51.72,0.0,51.72,13.55,24.62
O00035,2024-09-14,C0151,P0771,S027,In-Store,1,155.11,0.05,147.35,9,2024,155.11,0.08,155.03,81.54,73.57
O00036,2024-12-14,C0098,P0728,S011,In-Store,3,242.37,0.0,727.11,12,2024,727.11,0.0,727.11,152.25,270.36
O00037,2025-06-14,C0527,P0693,S009,In-Store,2,147.47,0.2,235.95,6,2025,294.94,0.59,294.35,132.72,29.5
O00038,2025-11-26,C0121,P0493,S019,In-Store,2,178.11,0.05,338.41,11,2025,356.22,0.18,356.04,108.79,138.64
O00039,2025-08-18,C0384,P0183,S055,In-Store,1,304.66,0.2,243.73,8,2025,304.66,0.61,304.05,181.16,123.5
O00040,2024-04-19,C0668,P0911,S007,In-Store,3,298.36,0.0,895.08,4,2024,895.08,0.0,895.08,154.31,432.15
O00041,2024-12-30,C0500,P1043,Online,Online,2,321.82,0.2,514.91,12,2024,643.64,1.29,642.35,198.11,247.42
O00042,2025-01-13,C0763,P0193,S011,In-Store,1,62.96,0.2,50.37,1,2025,62.96,0.13,62.83,32.26,30.7
O00043,2025-05-28,C0660,P0888,Online,Online,2,99.91,0.05,189.83,5,2025,199.82,0.1,199.72,50.37,99.08
O00044,2024-12-09,C0065,P1100,Online,Online,1,74.54,0.0,74.54,12,2024,74.54,0.0,74.54,42.65,31.89
O00045,2025-05-10,C0549,P1085,S033,In-Store,2,42.67,0.0,85.34,5,2025,85.34,0.0,85.34,36.58,12.18
O00046,2025-02-09,C0212,P0240,Online,Online,10,85.49,0.05,812.2,2,2025,854.9,0.43,854.47,0.0,67.74
O00047,2024-08-01,C0457,P0643,Online,Online,1,252.43,0.05,239.81,8,2024,252.43,0.13,252.3,137.05,115.38
O00048,2025-08-29,C0668,P0330,Online,Online,1,355.55,0.1,320.0,8,2025,355.55,0.36,355.19,189.35,166.2
O00049,2025-05-02,C0035,P0173,S032,In-Store,3,209.18,0.1,564.79,5,2025,627.54,0.63,626.91,115.36,281.46
O00050,2024-07-13,C0557,P0351,S017,In-Store,1,170.33,0.0,170.33,7,2024,170.33,0.0,170.33,106.14,64.19
O00051,2025-07-05,C0047,P1063,S018,In-Store,3,71.55,0.2,171.72,7,2025,214.65,0.43,214.22,60.93,31.86
O00052,2024-06-07,C0502,P0640,S022,In-Store,1,215.37,0.05,204.6,6,2024,215.37,0.11,215.26,131.24,84.13
O00053,2024-10-19,C0678,P0091,Online,Online,1,27.29,0.05,25.93,10,2024,27.29,0.01,27.28,20.11,7.18
O00054,2024-07-20,C0220,P0274,S013,In-Store,1,285.95,0.1,257.36,7,2024,285.95,0.29,285.66,198.93,87.02
O00055,2024-05-12,C0746,P0864,Online,Online,3,113.48,0.1,306.4,5,2024,340.44,0.34,340.1,63.42,150.18
O00056,2024-05-27,C0665,P0334,S005,In-Store,1,135.83,0.1,122.25,5,2024,135.83,0.14,135.69,118.75,17.08
O00057,2025-03-30,C0711,P0293,S004,In-Store,1,259.84,0.1,233.86,3,2025,259.84,0.26,259.58,179.45,80.39
O00058,2024-08-24,C0713,P0394,S036,In-Store,2,219.0,0.05,416.1,8,2024,438.0,0.22,437.78,165.56,106.88
O00059,2024-11-06,C0157,P0647,S027,In-Store,2,139.35,0.2,222.96,11,2024,278.7,0.56,278.14,105.87,66.96
O00060,2025-04-19,C0618,P0506,Online,Online,3,76.44,0.0,229.32,4,2025,229.32,0.0,229.32,44.45,95.97
O00061,2025-01-03,C0700,P1123,S021,In-Store,3,75.06,0.0,225.18,1,2025,225.18,0.0,225.18,58.9,48.48
O00062,2025-03-09,C0341,P0559,Online,Online,1,286.97,0.05,272.62,3,2025,286.97,0.14,286.83,166.15,120.82
O00063,2024-06-22,C0100,P0772,S014,In-Store,1,121.36,0.2,97.09,6,2024,121.36,0.24,121.12,102.72,18.64
O00064,2024-08-20,C0596,P0252,Online,Online,1,231.15,0.1,208.03,8,2024,231.15,0.23,230.92,196.57,34.58
O00065,2024-07-17,C0501,P0195,S044,In-Store,2,151.18,0.1,272.12,7,2024,302.36,0.3,302.06,77.35,147.66
O00066,2024-11-01,C0622,P0202,S010,In-Store,1,218.6,0.1,196.74,11,2024,218.6,0.22,218.38,119.34,99.26
O00067,2025-02-04,C0398,P0370,S047,In-Store,1,106.39,0.2,85.11,2,2025,106.39,0.21,106.18,58.2,48.19
O00068,2025-06-12,C0130,P0530,Online,Online,2,274.32,0.05,521.21,6,2025,548.64,0.27,548.37,147.34,253.96
O00069,2025-02-13,C0146,P0775,S017,In-Store,1,22.99,0.0,22.99,2,2025,22.99,0.0,22.99,12.88,10.11
O00070,2025-02-22,C0654,P0758,S015,In-Store,2,218.78,0.2,350.05,2,2025,437.56,0.88,436.68,135.84,165.88
O00071,2024-07-12,C0187,P0898,S051,In-Store,1,204.25,0.2,163.4,7,2024,204.25,0.41,203.84,167.86,36.39
O00072,2024-05-01,C0282,P0876,S045,In-Store,1,181.91,0.05,172.81,5,2024,181.91,0.09,181.82,156.25,25.66
O00073,2025-05-04,C0089,P0625,S020,In-Store,1,249.56,0.0,249.56,5,2025,249.56,0.0,249.56,178.47,71.09
O00074,2025-11-24,C0078,P0491,S010,In-Store,2,205.2,0.0,410.4,11,2025,410.4,0.0,410.4,156.25,97.9
O00075,2024-12-14,C0292,P1134,S051,In-Store,3,40.51,0.0,121.53,12,2024,121.53,0.0,121.53,26.67,41.52
O00076,2024-10-29,C0434,P1041,S008,In-Store,1,127.15,0.2,101.72,10,2024,127.15,0.25,126.9,93.33,33.82
O00077,2025-09-09,C0701,P1090,S025,In-Store,1,32.87,0.0,32.87,9,2025,32.87,0.0,32.87,18.73,14.14
O00078,2025-06-02,C0763,P0014,Online,In-Store,1,34.42,0.1,30.98,6,2025,34.42,0.03,34.39,17.91,16.51
O00079,2025-01-06,C0756,P1081,S002,In-Store,1,26.3,0.2,21.04,1,2025,26.3,0.05,26.25,16.09,10.21
O00080,2024-10-22,C0690,P1072,S011,In-Store,1,200.65,0.0,200.65,10,2024,200.65,0.0,200.65,138.28,62.37
O00081,2025-03-11,C0136,P1052,S003,In-Store,1,190.93,0.2,152.74,3,2025,190.93,0.38,190.55,126.53,64.4
O00082,2025-05-13,C0174,P0764,S021,In-Store,1,241.25,0.05,229.19,5,2025,241.25,0.12,241.13,143.88,97.37
O00083,2024-06-05,C0784,P0241,Online,Online,1,195.47,0.2,156.38,6,2024,195.47,0.39,195.08,150.43,45.04
O00084,2025-11-05,C0218,P0004,S036,In-Store,2,88.47,0.2,141.55,11,2025,176.94,0.35,176.59,71.35,34.24
O00085,2025-03-15,C0312,P1055,S002,In-Store,2,200.83,0.2,321.33,3,2025,401.66,0.8,400.86,115.79,170.08
O00086,2024-06-20,C0499,P0117,S039,In-Store,1,197.56,0.2,158.05,6,2024,197.56,0.4,197.16,116.12,81.44
O00087,2024-09-12,C0362,P0219,Online,Online,2,125.63,0.05,238.7,9,2024,251.26,0.13,251.13,73.95,103.36
O00088,2025-05-31,C0009,P0207,S012,In-Store,1,176.19,0.0,176.19,5,2025,176.19,0.0,176.19,97.87,78.32
O00089,2024-05-04,C0157,P0841,Online,Online,10,101.01,0.2,808.1,5,2024,1010.1,2.02,1008.08,53.94,470.7
O00090,2025-09-19,C0787,P0512,Online,Online,3,258.13,0.2,619.51,9,2025,774.39,1.55,772.84,140.64,352.47
O00091,2024-08-26,C0373,P0877,S034,In-Store,3,238.06,0.1,642.76,8,2024,714.18,0.71,713.47,179.66,175.2
O00092,2025-03-01,C0449,P0899,Online,Online,1,118.47,0.1,106.62,3,2025,118.47,0.12,118.35,99.65,18.82
O00093,2025-03-18,C0005,P0735,S045,In-Store,2,196.86,0.05,374.03,3,2025,393.72,0.2,393.52,158.32,77.08
O00094,2025-11-25,C0291,P0082,Online,Online,2,177.36,0.2,283.78,11,2025,354.72,0.71,354.01,136.2,82.32
O00095,2025-02-27,C0032,P0328,S017,In-Store,1,126.04,0.2,100.83,2,2025,126.04,0.25,125.79,105.42,20.62
O00096,2025-04-14,C0272,P0243,S035,In-Store,2,62.91,0.2,100.66,4,2025,125.82,0.25,125.57,0.0,67.74
O00097,2025-02-15,C0731,P0260,S048,In-Store,3,116.29,0.2,279.1,2,2025,348.87,0.7,348.17,104.16,36.39
O00098,2024-05-30,C0759,P0796,Online,Online,1,87.96,0.0,87.96,5,2024,87.96,0.0,87.96,77.22,10.74
O00099,2025-09-06,C0129,P0318,S000,In-Store,1,80.1,0.05,76.09,9,2025,80.1,0.04,80.06,64.3,15.8
O00101,2025-12-17,C0296,P0577,S048,In-Store,2,309.01,0.2,494.42,12,2025,618.02,1.24,616.78,154.53,308.96
O00102,2025-09-21,C0156,P1047,Online,Online,2,126.31,0.1,227.36,9,2025,252.62,0.25,252.37,79.41,93.8
O00103,2025-01-13,C0269,P0506,S027,In-Store,2,76.44,0.05,145.24,1,2025,152.88,0.08,152.8,44.45,63.98
O00104,2025-12-04,C0596,P0211,S032,In-Store,2,143.29,0.05,272.25,12,2025,286.58,0.14,286.44,123.62,39.34
O00105,2024-07-25,C0605,P0304,Online,Online,1,138.55,0.05,131.62,7,2024,138.55,0.07,138.48,77.54,61.01
O00106,2025-08-19,C0280,P0393,S027,In-Store,3,301.95,0.0,905.85,8,2025,905.85,0.0,905.85,152.45,448.5
O00107,2025-12-19,C0093,P0104,S033,In-Store,3,237.61,0.1,641.55,12,2025,712.83,0.71,712.12,131.78,317.49
O00108,2024-07-16,C0236,P0454,S030,In-Store,1,57.81,0.0,57.81,7,2024,57.81,0.0,57.81,39.64,18.17
O00109,2024-05-01,C0659,P0105,S017,In-Store,1,49.07,0.1,44.16,5,2024,49.07,0.05,49.02,43.88,5.19
O00110,2024-10-16,C0359,P0856,Online,Online,1,72.18,0.0,72.18,10,2024,72.18,0.0,72.18,53.24,18.94
O00111,2025-06-23,C0000,P0106,S020,In-Store,2,117.1,0.05,222.49,6,2025,234.2,0.12,234.08,97.34,39.52
O00112,2025-09-12,C0286,P0206,Online,In-Store,2,44.72,0.2,71.55,9,2025,89.44,0.18,89.26,38.98,11.48
O00113,2025-05-11,C0311,P0228,Online,Online,1,59.1,0.0,59.1,5,2025,59.1,0.0,59.1,35.69,23.41
O00114,2025-03-26,C0788,P0266,S047,In-Store,3,273.92,0.1,739.58,3,2025,821.76,0.82,820.94,151.72,366.6
O00115,2025-02-03,C0603,P1083,S015,In-Store,1,186.78,0.1,168.1,2,2025,186.78,0.19,186.59,140.65,46.13
O00116,2025-09-07,C0393,P0178,S008,In-Store,2,129.07,0.0,258.14,9,2025,258.14,0.0,258.14,94.08,69.98
O00117,2025-09-09,C0670,P0390,Online,Online,1,178.02,0.2,142.42,9,2025,178.02,0.36,177.66,0.0,67.74
O00118,2025-06-14,C0076,P1119,S019,In-Store,1,64.93,0.2,51.94,6,2025,64.93,0.13,64.8,51.65,13.28
O00119,2025-08-13,C0206,P1092,S002,In-Store,1,48.28,0.05,45.87,8,2025,48.28,0.02,48.26,34.56,13.72
O00120,2024-12-29,C0563,P0517,S048,In-Store,2,203.43,0.1,366.17,12,2024,406.86,0.41,406.45,172.69,61.48
O00121,2025-03-01,C0459,P0240,S004,In-Store,1,85.49,0.2,68.39,3,2025,85.49,0.17,85.32,0.0,67.74
O00122,2024-07-03,C0515,P0044,Online,Online,1,22.6,0.1,20.34,7,2024,22.6,0.02,22.58,0.0,67.74
O00123,2025-06-24,C0132,P0593,Online,Online,2,71.58,0.0,143.16,6,2025,143.16,0.0,143.16,37.74,67.68
O00124,2024-11-16,C0710,P0389,S025,In-Store,1,277.24,0.2,221.79,11,2024,277.24,0.55,276.69,154.95,122.29
O00125,2025-05-25,C0525,P0153,Online,Online,1,56.67,0.2,45.34,5,2025,56.67,0.11,56.56,28.68,27.99
O00126,2025-04-19,C0399,P0820,S013,In-Store,30,310.73,0.05,8855.8,4,2025,9321.9,4.66,9317.24,0.0,67.74
O00127,2024-08-13,C0585,P0446,S000,In-Store,3,89.71,0.2,215.3,8,2024,269.13,0.54,268.59,61.91,83.4
O00128,2024-08-16,C0737,P1075,Online,Online,1,285.01,0.05,270.76,8,2024,285.01,0.14,284.87,191.46,93.55
O00129,2025-02-24,C0274,P1130,Online,Online,2,208.54,0.05,396.23,2,2025,417.08,0.21,416.87,178.82,59.44
O00130,2024-05-03,C0243,P0597,Online,Online,1,105.66,0.05,100.38,5,2024,105.66,0.05,105.61,73.49,32.17
O00131,2025-05-15,C0284,P0272,Online,Online,2,43.92,0.0,87.84,5,2025,87.84,0.0,87.84,22.88,42.08
O00132,2025-01-28,C0254,P0430,S000,In-Store,2,126.13,0.1,227.03,1,2025,252.26,0.25,252.01,78.96,94.34
O00133,2024-04-14,C0377,P0664,Online,Online,1,191.74,0.1,172.57,4,2024,191.74,0.19,191.55,109.09,82.65
O00134,2025-01-16,C0418,P0603,S003,In-Store,1,31.8,0.0,31.8,1,2025,31.8,0.0,31.8,24.75,7.05
O00135,2024-05-07,C0224,P0572,Online,Online,1,271.22,0.0,271.22,5,2024,271.22,0.0,271.22,177.14,94.08
O00136,2025-04-28,C0796,P1194,Online,Online,1,50.75,0.2,40.6,4,2025,50.75,0.1,50.65,33.5,17.25
O00137,2025-01-10,C0263,P1128,Online,Online,1,153.7,0.2,122.96,1,2025,153.7,0.31,153.39,86.72,66.98
O00138,2025-12-25,C0275,P0417,S051,In-Store,1,56.54,0.2,45.23,12,2025,56.54,0.11,56.43,43.26,13.28
O00139,2025-01-17,C0237,P0888,S057,In-Store,1,99.91,0.2,79.93,1,2025,99.91,0.2,99.71,50.37,49.54
O00140,2024-10-05,C0185,P0940,Online,Online,2,21.41,0.05,40.68,10,2024,42.82,0.02,42.8,16.72,9.38
O00141,2025-07-10,C0502,P0369,S001,In-Store,3,314.41,0.1,848.91,7,2025,943.23,0.94,942.29,197.87,349.62
O00142,2024-06-01,C0181,P0807,S012,In-Store,1,135.25,0.0,135.25,6,2024,135.25,0.0,135.25,80.88,54.37
O00143,2024-04-23,C0436,P0502,S041,In-Store,2,256.28,0.2,410.05,4,2024,512.56,1.03,511.53,165.85,180.86
O00144,2024-05-03,C0539,P0281,S051,In-Store,2,197.67,0.0,395.34,5,2024,395.34,0.0,395.34,145.12,105.1
O00145,2025-03-22,C0386,P0786,Online,Online,2,21.67,0.0,43.34,3,2025,43.34,0.0,43.34,13.41,16.52
O00146,2025-10-21,C0659,P0089,Online,Online,2,229.1,0.0,458.2,10,2025,458.2,0.0,458.2,150.01,158.18
O00147,2024-12-24,C0642,P0027,S000,In-Store,2,236.79,0.0,473.58,12,2024,473.58,0.0,473.58,189.64,94.3
O00148,2025-05-22,C0346,P0174,Online,Online,2,178.88,0.2,286.21,5,2025,357.76,0.72,357.04,123.85,110.06
O00149,2024-06-14,C0454,P0334,S030,In-Store,1,135.83,0.05,129.04,6,2024,135.83,0.07,135.76,118.75,17.08
O00150,2024-06-30,C0556,P0547,S007,In-Store,2,235.33,0.0,470.66,6,2024,470.66,0.0,470.66,147.83,175.0
O00151,2025-01-27,C0105,P1115,Online,Online,2,265.8,0.2,425.28,1,2025,531.6,1.06,530.54,0.0,67.74
O00152,2025-02-18,C0229,P0049,Online,Online,1,186.29,0.2,149.03,2,2025,186.29,0.37,185.92,0.0,67.74
O00153,2025-04-28,C0671,P0587,Online,Online,2,78.06,0.2,124.9,4,2025,156.12,0.31,155.81,63.84,28.44
O00154,2025-06-27,C0732,P0230,S007,In-Store,2,73.43,0.05,139.52,6,2025,146.86,0.07,146.79,47.04,52.78
O00155,2024-09-26,C0288,P0731,Online,Online,1,138.18,0.1,124.36,9,2024,138.18,0.14,138.04,113.54,24.64
O00156,2025-01-29,C0086,P0088,S011,In-Store,3,361.93,0.2,868.63,1,2025,1085.79,2.17,1083.62,190.26,515.01
O00157,2024-06-09,C0614,P0371,S009,In-Store,4,229.56,0.1,826.42,6,2024,918.24,0.92,917.32,131.42,392.56
O00158,2025-09-03,C0293,P0713,S017,In-Store,1,175.75,0.2,140.6,9,2025,175.75,0.35,175.4,139.9,35.85
O00159,2024-07-20,C0271,P0156,S055,In-Store,1,140.3,0.05,133.28,7,2024,140.3,0.07,140.23,104.23,36.07
O00160,2024-09-30,C0150,P0655,Online,Online,2,25.85,0.2,41.36,9,2024,51.7,0.1,51.6,15.47,20.76
O00161,2024-04-16,C0526,P0979,S007,In-Store,2,117.11,0.2,187.38,4,2024,234.22,0.47,233.75,65.36,103.5
O00162,2025-12-12,C0285,P0296,Online,Online,1,34.89,0.05,33.15,12,2025,34.89,0.02,34.87,25.01,9.88
O00163,2025-08-26,C0394,P0722,S027,In-Store,3,17.67,0.2,42.41,8,2025,53.01,0.11,52.9,15.35,6.96
O00164,2025-01-22,C0423,P0682,Online,Online,1,197.42,0.05,187.55,1,2025,197.42,0.1,197.32,130.65,66.77
O00165,2025-03-27,C0562,P1018,S031,In-Store,2,167.01,0.05,317.32,3,2025,334.02,0.17,333.85,129.58,74.86
O00166,2024-07-14,C0594,P0863,S049,In-Store,1,109.7,0.05,104.22,7,2024,109.7,0.05,109.65,72.06,37.64
O00167,2025-07-15,C0240,P0740,Online,Online,3,149.47,0.0,448.41,7,2025,448.41,0.0,448.41,110.35,117.36
O00168,2024-09-29,C0485,P0273,S003,In-Store,3,125.14,0.1,337.88,9,2024,375.42,0.38,375.04,85.9,117.72
O00169,2025-01-02,C0797,P0285,Online,Online,1,86.63,0.05,82.3,1,2025,86.63,0.04,86.59,74.63,12.0
O00170,2025-07-18,C0564,P0862,Online,Online,1,105.88,0.05,100.59,7,2025,105.88,0.05,105.83,85.38,20.5
O00171,2025-04-09,C0141,P0240,S045,In-Store,2,85.49,0.05,162.43,4,2025,170.98,0.09,170.89,0.0,67.74
O00172,2024-07-05,C0026,P0869,S044,In-Store,1,216.72,0.0,216.72,7,2024,216.72,0.0,216.72,171.43,45.29
O00173,2025-01-08,C0075,P0976,S055,In-Store,1,290.2,0.05,275.69,1,2025,290.2,0.15,290.05,146.74,143.46
O00174,2025-08-04,C0374,P0289,Online,Online,2,17.32,0.0,34.64,8,2025,34.64,0.0,34.64,13.54,7.56
O00175,2025-12-12,C0426,P0306,S030,In-Store,1,148.17,0.05,140.76,12,2025,148.17,0.07,148.1,102.31,45.86
O00176,2025-10-19,C0715,P0613,S046,In-Store,1,316.84,0.1,285.16,10,2025,316.84,0.32,316.52,194.29,122.55
O00177,2025-09-22,C0660,P0027,Online,Online,1,236.79,0.05,224.95,9,2025,236.79,0.12,236.67,189.64,47.15
O00178,2025-03-21,C0657,P0065,S011,In-Store,1,103.15,0.05,97.99,3,2025,103.15,0.05,103.1,57.03,46.12
O00179,2024-11-11,C0433,P0930,S053,In-Store,3,201.43,0.1,543.86,11,2024,604.29,0.6,603.69,135.99,196.32
O00180,2025-08-15,C0513,P0626,S027,In-Store,1,352.02,0.05,334.42,8,2025,352.02,0.18,351.84,184.56,167.46
O00181,2024-05-09,C0094,P1068,S017,In-Store,2,222.82,0.05,423.36,5,2024,445.64,0.22,445.42,121.13,203.38
O00182,2025-04-07,C0410,P0114,Online,Online,1,291.58,0.05,277.0,4,2025,291.58,0.15,291.43,148.09,143.49
O00183,2025-03-24,C0572,P0158,S029,In-Store,1,106.61,0.2,85.29,3,2025,106.61,0.21,106.4,58.87,47.74
O00184,2025-09-02,C0657,P0829,S010,In-Store,2,244.31,0.0,488.62,9,2025,488.62,0.0,488.62,170.36,147.9
O00185,2025-04-15,C0662,P0868,Online,Online,2,207.53,0.0,415.06,4,2025,415.06,0.0,415.06,131.45,152.16
O00186,2024-06-15,C0371,P0687,Online,Online,2,207.29,0.1,373.12,6,2024,414.58,0.41,414.17,163.92,86.74
O00187,2025-12-12,C0109,P0133,Online,Online,2,50.24,0.0,100.48,12,2025,100.48,0.0,100.48,28.1,44.28
O00188,2024-08-18,C0316,P0384,S040,In-Store,1,35.44,0.0,35.44,8,2024,35.44,0.0,35.44,22.73,12.71
O00189,2025-11-15,C0087,P1167,S036,In-Store,1,55.44,0.2,44.35,11,2025,55.44,0.11,55.33,27.8,27.64
O00190,2024-10-09,C0322,P0190,S000,In-Store,1,232.24,0.1,209.02,10,2024,232.24,0.23,232.01,136.2,96.04
O00191,2025-02-09,C0407,P1024,Online,Online,1,22.98,0.2,18.38,2,2025,22.98,0.05,22.93,15.49,7.49
O00192,2025-09-16,C0132,P0199,S057,In-Store,4,115.92,0.0,463.68,9,2025,463.68,0.0,463.68,58.8,228.48
O00193,2024-10-08,C0793,P0307,Online,Online,3,184.0,0.2,441.6,10,2024,552.0,1.1,550.9,142.29,125.13
O00194,2025-04-27,C0038,P0594,Online,Online,1,9.3,0.2,7.44,4,2025,9.3,0.02,9.28,7.22,2.08
O00195,2024-12-03,C0640,P0191,S014,In-Store,1,208.21,0.05,197.8,12,2024,208.21,0.1,208.11,136.59,71.62
O00196,2024-07-10,C0669,P0288,S010,In-Store,2,281.92,0.1,507.46,7,2024,563.84,0.56,563.28,144.63,274.58
O00197,2025-02-18,C0134,P0694,Online,Online,2,156.82,0.2,250.91,2,2025,313.64,0.63,313.01,89.41,134.82
O00198,2025-03-04,C0729,P0793,Online,Online,2,273.34,0.0,546.68,3,2025,546.68,0.0,546.68,166.17,214.34
O00199,2025-01-03,C0580,P1018,Online,Online,1,167.01,0.0,167.01,1,2025,167.01,0.0,167.01,129.58,37.43
O00200,2025-02-01,C0316,P1120,S051,In-Store,1,146.64,0.0,146.64,2,2025,146.64,0.0,146.64,0.0,67.74
O00201,2024-10-11,C0465,P0642,Online,Online,2,258.83,0.1,465.89,10,2024,517.66,0.52,517.14,171.06,175.54
O00202,2025-09-09,C0286,P1180,S005,In-Store,2,89.37,0.0,178.74,9,2025,178.74,0.0,178.74,47.06,84.62
O00203,2025-06-05,C0790,P0943,Online,Online,1,181.12,0.2,144.9,6,2025,181.12,0.36,180.76,104.17,76.95
O00204,2024-12-11,C0781,P0905,S008,In-Store,1,138.07,0.0,138.07,12,2024,138.07,0.0,138.07,108.67,29.4
O00205,2025-10-14,C0499,P0081,S018,In-Store,1,102.43,0.2,81.94,10,2025,102.43,0.2,102.23,60.34,42.09
O00206,2025-08-26,C0634,P0264,S032,In-Store,2,69.39,0.1,124.9,8,2025,138.78,0.14,138.64,40.26,58.26
O00207,2025-03-27,C0698,P0846,S016,In-Store,4,257.54,0.0,1030.16,3,2025,1030.16,0.0,1030.16,178.48,316.24
O00208,2025-12-09,C0659,P0116,S015,In-Store,2,196.71,0.0,393.42,12,2025,393.42,0.0,393.42,166.99,59.44
O00209,2025-08-06,C0107,P0595,S036,In-Store,1,277.06,0.2,221.65,8,2025,277.06,0.55,276.51,158.47,118.59
O00210,2025-10-29,C0228,P0795,S042,In-Store,2,255.38,0.0,510.76,10,2025,510.76,0.0,510.76,133.58,243.6
O00211,2024-10-07,C0479,P1095,S029,In-Store,2,96.11,0.0,192.22,10,2024,192.22,0.0,192.22,70.02,52.18
