product_id,product_name,category,brand,cost_price,unit_price,margin_pct,profitper_unit
P0062,BrandA Five,Home & Kitchen,BrandB,138.0,234.63,41.18,32378.94
P0063,BrandC Congress,Personal Care,BrandB,185.52,243.6,23.84,45192.67
P0064,BrandB Important,Apparel,BrandD,9.83,17.33,43.28,170.35
P0065,BrandC Moment,Personal Care,BrandB,57.03,103.15,44.71,5882.64
P0066,BrandA Computer,Personal Care,BrandA,172.43,224.19,23.09,38657.08
P0067,BrandD Indeed,Home & Kitchen,BrandC,165.0,310.89,46.93,51296.85
P0068,BrandB Nice,Electronics,BrandB,82.7,111.71,25.97,9238.42
P0069,BrandA Wait,Home & Kitchen,BrandC,130.09,189.89,31.49,24702.79
P0071,BrandC Tough,Electronics,BrandA,121.33,171.21,29.13,20772.91
P0072,BrandC Finish,Personal Care,BrandA,80.11,129.69,38.23,10389.47
P0073,BrandC Help,Electronics,BrandD,5.33,10.3,48.25,54.9
P0074,BrandB No,Home & Kitchen,BrandD,18.64,31.65,41.11,589.96
P0075,BrandC Better,Home & Kitchen,BrandA,145.35,199.17,27.02,28949.36
P0076,BrandC Economy,Personal Care,BrandC,83.47,114.03,26.8,9518.08
P0077,BrandB Need,Apparel,BrandD,134.66,194.08,30.62,26134.81
P0078,BrandB Oil,Home & Kitchen,BrandD,111.85,123.08,9.12,13766.5
P0079,BrandC Southern,Apparel,BrandD,158.22,260.43,39.25,41205.23
P0080,BrandC Market,Personal Care,BrandD,91.22,117.89,22.62,10753.93
P0081,BrandD Need,Apparel,BrandA,60.34,102.43,41.09,6180.63
P0082,BrandC Society,Electronics,BrandB,136.2,177.36,23.21,24156.43
P0083,BrandB Weight,Apparel,BrandA,14.01,27.82,49.64,389.76
P0084,BrandA Head,Personal Care,BrandD,177.8,287.7,38.2,51153.06
P0085,BrandD Officer,Personal Care,BrandD,52.58,88.88,40.84,4673.31
P0086,BrandA Born,Electronics,BrandD,47.67,86.94,45.17,4144.43
P0087,BrandD Accept,Electronics,BrandB,183.91,222.39,17.3,40899.74
P0088,BrandB Compare,Personal Care,BrandC,190.26,361.93,47.43,68860.8
P0089,BrandD Answer,Personal Care,BrandB,150.01,229.1,34.52,34367.29
P0090,BrandC Chance,Apparel,BrandC,154.33,242.17,36.27,37374.1
P0091,BrandB Add,Home & Kitchen,BrandD,20.11,27.29,26.31,548.8
P0092,BrandC Half,Home & Kitchen,BrandC,179.14,210.05,14.72,37628.36
P0093,BrandB Present,Apparel,BrandD,140.32,243.56,42.39,34176.34
P0094,BrandA President,Personal Care,BrandD,69.52,105.62,34.18,7342.7
P0095,BrandA So,Apparel,BrandD,80.95,145.13,44.22,11748.27
P0096,BrandA Drive,Personal Care,BrandD,6.15,8.71,29.39,53.57
P0097,BrandD Might,Personal Care,BrandB,100.2,134.83,25.68,13509.97
P0098,BrandD Officer,Electronics,BrandD,70.55,120.73,41.56,8517.5
P0099,BrandD Indicate,Apparel,BrandD,184.31,365.42,49.56,67350.56
P0100,BrandA Off,Personal Care,BrandA,21.37,31.75,32.69,678.5
P0102,BrandD Improve,Home & Kitchen,BrandC,153.44,221.14,30.61,33931.72
P0103,BrandD Or,Home & Kitchen,BrandA,96.71,171.58,43.64,16593.5
P0104,BrandA Among,Home & Kitchen,BrandB,131.78,237.61,44.54,31312.25
P0105,BrandA Same,Electronics,BrandB,43.88,49.07,10.58,2153.19
P0106,BrandB Follow,Apparel,BrandB,97.34,117.1,16.87,11398.51
P0108,BrandA Make,Apparel,BrandC,26.08,29.29,10.96,763.88
P0110,BrandB Not,Electronics,BrandC,170.81,280.19,39.04,47859.25
P0111,BrandA First,Electronics,BrandC,108.89,184.61,41.02,20102.18
P0112,BrandA Represent,Home & Kitchen,BrandA,170.67,314.05,45.66,53598.91
P0113,BrandA Company,Personal Care,BrandC,128.94,238.0,45.82,30687.72
P0114,BrandB You,Personal Care,BrandB,148.09,291.58,49.21,43180.08
P0115,BrandC Piece,Personal Care,BrandD,89.94,158.11,43.12,14220.41
P0116,BrandC Sometimes,Home & Kitchen,BrandB,166.99,196.71,15.11,32848.6
P0117,BrandD Hair,Apparel,BrandD,116.12,197.56,41.22,22940.67
P0118,BrandC Manager,Electronics,BrandD,170.94,216.01,20.86,36924.75
P0119,BrandB Quite,Home & Kitchen,BrandC,71.37,135.05,47.15,9638.52
P0120,BrandC Arm,Electronics,BrandB,21.69,37.92,42.8,822.48
P0121,BrandD Stand,Apparel,BrandD,130.95,201.89,35.14,26437.5
P0122,BrandA Loss,Electronics,BrandC,48.21,83.05,41.95,4003.84
P0123,BrandC Word,Home & Kitchen,BrandD,112.93,159.16,29.05,17973.94
P0124,BrandC Every,Home & Kitchen,BrandD,57.83,76.7,24.6,4435.56
P0125,BrandA Off,Apparel,BrandC,28.31,44.79,36.79,1268.0
P0126,BrandB History,Apparel,BrandB,149.03,201.02,25.86,29958.01
P0127,BrandC Another,Electronics,BrandB,62.77,89.43,29.81,5613.52
P0128,BrandC Look,Electronics,BrandB,58.49,115.63,49.42,6763.2
P0129,BrandC Let,Apparel,BrandD,25.0,27.78,10.01,694.5
P0130,BrandC Trial,Personal Care,BrandD,90.89,115.06,21.01,10457.8
P0131,BrandA Gas,Home & Kitchen,BrandD,27.25,31.58,13.71,860.56
P0132,BrandD Ever,Electronics,BrandA,34.59,63.3,45.36,2189.55
P0133,BrandC Physical,Electronics,BrandB,28.1,50.24,44.07,1411.74
P0134,BrandB Step,Personal Care,BrandD,182.16,249.13,26.88,45381.52
P0135,BrandD Especially,Home & Kitchen,BrandA,123.88,218.78,43.38,27102.47
P0136,BrandB Treat,Apparel,BrandC,133.78,166.07,19.44,22216.84
P0137,BrandB Money,Electronics,BrandB,5.52,8.31,33.57,45.87
P0138,BrandD Prove,Home & Kitchen,BrandA,50.14,87.06,42.41,4365.19
P0139,BrandD Own,Electronics,BrandB,185.16,334.96,44.72,62021.19
P0140,BrandB Community,Personal Care,BrandA,111.19,187.12,40.58,20805.87
P0141,BrandC Hour,Apparel,BrandA,16.63,30.16,44.86,501.56
P0142,BrandC Factor,Personal Care,BrandA,96.4,132.42,27.2,12765.29
P0143,BrandD Dark,Home & Kitchen,BrandD,90.36,148.03,38.96,13375.99
P0144,BrandD Mind,Home & Kitchen,BrandC,10.04,13.11,23.42,131.62
P0145,BrandA Stay,Home & Kitchen,BrandA,153.81,193.44,20.49,29753.01
P0146,BrandD Church,Home & Kitchen,BrandB,199.4,297.56,32.99,59333.46
P0147,BrandD Safe,Electronics,BrandD,72.85,101.99,28.57,7429.97
P0148,BrandA Particular,Apparel,BrandC,85.27,131.82,35.31,11240.29
P0149,BrandD Hot,Electronics,BrandD,22.17,29.42,24.64,652.24
P0150,BrandA Serious,Personal Care,BrandA,133.24,211.63,37.04,28197.58
P0151,BrandD Side,Electronics,BrandB,106.1,176.17,39.77,18691.64
P0152,BrandD Growth,Personal Care,BrandA,44.69,71.25,37.28,3184.16
P0153,BrandC Surface,Personal Care,BrandD,28.68,56.67,49.39,1625.3
P0154,BrandB Alone,Apparel,BrandC,112.41,179.52,37.38,20179.84
P0155,BrandA World,Apparel,BrandA,94.98,114.52,17.06,10877.11
P0156,BrandB Smile,Personal Care,BrandC,104.23,140.3,25.71,14623.47
P0157,BrandD Past,Personal Care,BrandB,94.07,115.72,18.71,10885.78
P0158,BrandB Value,Apparel,BrandA,58.87,106.61,44.78,6276.13
P0159,BrandD Some,Home & Kitchen,BrandC,165.01,223.52,26.18,36883.04
P0160,BrandC Memory,Personal Care,BrandB,92.08,141.43,34.89,13022.87
P0161,BrandC Least,Personal Care,BrandD,186.91,351.88,46.88,65769.89
P0162,BrandB Onto,Personal Care,BrandB,171.92,252.67,31.96,43439.03
P0164,BrandB Whatever,Personal Care,BrandA,29.62,58.32,49.21,1727.44
P0165,BrandC Establish,Electronics,BrandD,24.44,46.91,47.9,1146.48
P0166,BrandA Human,Apparel,BrandD,174.83,344.93,49.31,60304.11
P0167,BrandA Early,Personal Care,BrandC,71.02,122.4,41.98,8692.85
P0168,BrandA Mouth,Home & Kitchen,BrandD,191.06,317.95,39.91,60747.53
P0169,BrandD Get,Electronics,BrandA,50.78,87.14,41.73,4424.97
P0171,BrandA Sometimes,Personal Care,BrandB,140.33,268.46,47.73,37672.99
P0172,BrandA Difficult,Home & Kitchen,BrandA,62.21,89.42,30.43,5562.82
P0173,BrandB Player,Apparel,BrandD,115.36,209.18,44.85,24131.0
P0174,BrandB Decide,Apparel,BrandA,123.85,178.88,30.76,22154.29
P0175,BrandB Give,Personal Care,BrandB,50.28,84.17,40.26,4232.07
P0176,BrandD Offer,Home & Kitchen,BrandA,180.29,273.81,34.16,49365.2
P0177,BrandC May,Apparel,BrandA,91.14,128.6,29.13,11720.6
P0178,BrandC Use,Personal Care,BrandC,94.08,129.07,27.11,12142.91
P0179,BrandD Product,Personal Care,BrandA,51.26,82.77,38.07,4242.79
P0180,BrandC Unit,Home & Kitchen,BrandA,195.7,331.2,40.91,64815.84
P0181,BrandC Card,Electronics,BrandA,182.57,323.27,43.52,59019.4
P0182,BrandC Fund,Apparel,BrandC,47.71,60.65,21.34,2893.61
P0183,BrandC Direction,Apparel,BrandA,181.16,304.66,40.54,55192.21
P0184,BrandC Think,Personal Care,BrandA,118.02,207.61,43.15,24502.13
P0185,BrandA Mind,Home & Kitchen,BrandC,150.76,189.67,20.51,28594.65
P0186,BrandB Who,Home & Kitchen,BrandC,166.94,222.24,24.88,37100.75
P0187,BrandD Party,Home & Kitchen,BrandC,161.83,246.22,34.27,39845.78
P0188,BrandA Strong,Apparel,BrandB,172.73,302.59,42.92,52266.37
P0189,BrandD Tax,Home & Kitchen,BrandA,159.18,177.09,10.11,28189.19
P0190,BrandA Middle,Personal Care,BrandC,136.2,232.24,41.35,31631.09
P0191,BrandD Face,Home & Kitchen,BrandA,136.59,208.21,34.4,28439.4
P0192,BrandC Become,Apparel,BrandA,128.9,195.65,34.12,25219.29
P0193,BrandC Nothing,Personal Care,BrandA,32.26,62.96,48.76,2031.09
P0194,BrandC In,Personal Care,BrandA,23.95,45.47,47.33,1089.01
P0195,BrandB Care,Personal Care,BrandD,77.35,151.18,48.84,11693.77
P0196,BrandD Strategy,Apparel,BrandD,132.71,245.56,45.96,32588.27
P0197,BrandD Campaign,Home & Kitchen,BrandA,139.6,180.86,22.81,25248.06
P0198,BrandD Instead,Apparel,BrandC,24.37,41.85,41.77,1019.88
P0199,BrandC Grow,Electronics,BrandD,58.8,115.92,49.28,6816.1
P0200,BrandD While,Electronics,BrandB,130.13,213.08,38.93,27728.1
P0201,BrandA Good,Electronics,BrandC,52.5,63.7,17.58,3344.25
P0202,BrandB Simple,Electronics,BrandB,119.34,218.6,45.41,26087.72
P0203,BrandB Since,Home & Kitchen,BrandB,158.79,259.84,38.89,41259.99
P0204,BrandC Right,Apparel,BrandB,110.34,200.67,45.01,22141.93
P0205,BrandA Congress,Electronics,BrandB,7.9,14.31,44.79,113.05
P0206,BrandB Police,Home & Kitchen,BrandA,38.98,44.72,12.84,1743.19
P0207,BrandD Use,Electronics,BrandA,97.87,176.19,44.45,17243.72
P0208,BrandA Situation,Personal Care,BrandB,189.36,215.69,12.21,40843.06
P0209,BrandC Over,Personal Care,BrandA,16.86,25.81,34.68,435.16
P0210,BrandD Discuss,Personal Care,BrandA,100.6,193.02,47.88,19417.81
P0211,BrandA Middle,Electronics,BrandC,123.62,143.29,13.73,17713.51
P0212,BrandC Finally,Home & Kitchen,BrandD,198.95,313.84,36.61,62438.47
P0213,BrandD Young,Personal Care,BrandA,159.65,192.05,16.87,30660.78
P0214,BrandB Apply,Personal Care,BrandD,178.18,262.36,32.09,46747.3
P0215,BrandD Whom,Personal Care,BrandD,147.27,203.42,27.6,29957.66
P0216,BrandC Between,Home & Kitchen,BrandC,190.95,328.08,41.8,62646.88
P0217,BrandD Husband,Electronics,BrandA,167.2,197.95,15.53,33097.24
P0218,BrandA Child,Home & Kitchen,BrandB,113.49,184.74,38.57,20966.14
P0219,BrandC Radio,Electronics,BrandD,73.95,125.63,41.14,9290.34
P0220,BrandD Artist,Electronics,BrandC,122.08,172.92,29.4,21110.07
P0221,BrandB Network,Apparel,BrandD,48.73,58.35,16.49,2843.4
P0222,BrandC Business,Electronics,BrandC,116.95,213.61,45.25,24981.69
P0223,BrandA Song,Home & Kitchen,BrandA,40.18,69.61,42.28,2796.93
P0224,BrandC Mouth,Home & Kitchen,BrandC,6.19,11.66,46.91,72.18
P0225,BrandD Week,Electronics,BrandB,149.49,295.19,49.36,44127.95
P0226,BrandA Other,Apparel,BrandD,86.87,122.21,28.92,10616.38
P0227,BrandC Recent,Home & Kitchen,BrandC,156.48,252.06,37.92,39442.35
P0228,BrandA Herself,Electronics,BrandB,35.69,59.1,39.61,2109.28
P0229,BrandA Degree,Home & Kitchen,BrandD,134.08,206.09,34.94,27632.55
P0230,BrandD Car,Personal Care,BrandC,47.04,73.43,35.94,3454.15
P0231,BrandC Part,Personal Care,BrandA,60.23,103.03,41.54,6205.5
P0232,BrandD Poor,Home & Kitchen,BrandA,48.0,95.33,49.65,4575.84
P0233,BrandA Relationship,Electronics,BrandB,63.78,82.28,22.48,5247.82
P0234,BrandB Cup,Home & Kitchen,BrandC,68.98,76.36,9.66,5267.31
P0235,BrandD List,Apparel,BrandB,79.14,137.17,42.31,10855.63
P0236,BrandC Still,Electronics,BrandD,173.04,196.93,12.13,34076.77
P0237,BrandA During,Personal Care,BrandA,173.11,280.12,38.2,48491.57
P0238,BrandD Say,Personal Care,BrandC,27.46,30.72,10.61,843.57
P0239,BrandC Market,Apparel,BrandD,167.25,322.42,48.13,53924.74
P0241,BrandA Town,Personal Care,BrandC,150.43,195.47,23.04,29404.55
P0242,BrandB Report,Electronics,BrandA,108.47,138.25,21.54,14995.98
P0244,BrandB Walk,Apparel,BrandB,153.24,258.97,40.83,39684.56
P0245,BrandB We,Personal Care,BrandD,152.12,271.37,43.94,41280.8
P0246,BrandD Social,Home & Kitchen,BrandC,34.44,40.0,13.9,1377.6
P0247,BrandD Hundred,Home & Kitchen,BrandC,120.33,170.48,29.42,20513.86
P0248,BrandA Teacher,Home & Kitchen,BrandD,93.12,107.2,13.13,9982.46
P0249,BrandC Firm,Electronics,BrandA,124.93,194.44,35.75,24291.39
P0250,BrandD Hard,Electronics,BrandD,182.26,294.26,38.06,53631.83
P0251,BrandB Task,Home & Kitchen,BrandD,102.77,201.63,49.03,20721.52
P0252,BrandD Do,Electronics,BrandC,196.57,231.15,14.96,45437.16
P0253,BrandB Someone,Electronics,BrandB,142.99,284.82,49.8,40726.41
P0254,BrandB Least,Home & Kitchen,BrandC,184.0,266.56,30.97,49047.04
P0255,BrandC Exactly,Electronics,BrandC,17.85,21.15,15.6,377.53
P0256,BrandD Now,Home & Kitchen,BrandC,146.13,247.09,40.86,36107.26
P0257,BrandB Mean,Home & Kitchen,BrandA,118.63,145.59,18.52,17271.34
P0258,BrandC Rise,Home & Kitchen,BrandD,30.15,52.4,42.46,1579.86
P0259,BrandA Current,Home & Kitchen,BrandD,130.48,182.1,28.35,23760.41
P0260,BrandB Thought,Electronics,BrandD,104.16,116.29,10.43,12112.77
P0261,BrandC Serve,Apparel,BrandB,71.64,128.2,44.12,9184.25
P0262,BrandB Speak,Apparel,BrandB,35.21,48.1,26.8,1693.6
P0263,BrandA Candidate,Electronics,BrandC,175.9,291.33,39.62,51244.95
P0264,BrandD Pretty,Apparel,BrandB,40.26,69.39,41.98,2793.64
P0265,BrandB Line,Personal Care,BrandA,85.12,145.45,41.48,12380.7
P0266,BrandB Often,Personal Care,BrandC,151.72,273.92,44.61,41559.14
P0267,BrandB Edge,Apparel,BrandC,193.29,349.07,44.63,67471.74
P0268,BrandB Reason,Home & Kitchen,BrandD,95.03,128.63,26.12,12223.71
P0269,BrandD Give,Personal Care,BrandB,164.29,299.19,45.09,49153.93
P0270,BrandB Person,Home & Kitchen,BrandA,130.03,245.33,47.0,31900.26
P0271,BrandA How,Electronics,BrandC,21.36,26.58,19.64,567.75
P0272,BrandD Political,Apparel,BrandD,22.88,43.92,47.91,1004.89
P0273,BrandD Continue,Home & Kitchen,BrandA,85.9,125.14,31.36,10749.53
P0274,BrandC Upon,Apparel,BrandD,198.93,285.95,30.43,56884.03
P0275,BrandA Similar,Home & Kitchen,BrandA,168.64,284.15,40.65,47919.06
P0276,BrandB Near,Apparel,BrandA,60.94,112.54,45.85,6858.19
P0278,BrandA Tough,Home & Kitchen,BrandB,167.82,267.49,37.26,44890.17
P0279,BrandD Significant,Electronics,BrandC,51.34,62.1,17.33,3188.21
P0280,BrandB Itself,Personal Care,BrandD,17.25,31.96,46.03,551.31
P0281,BrandD Force,Electronics,BrandB,145.12,197.67,26.58,28685.87
P0282,BrandA Where,Home & Kitchen,BrandB,116.28,147.51,21.17,17152.46
P0283,BrandA Outside,Home & Kitchen,BrandA,190.91,303.48,37.09,57937.37
P0284,BrandA Become,Personal Care,BrandD,13.49,19.54,30.96,263.59
P0285,BrandC Everybody,Home & Kitchen,BrandA,74.63,86.63,13.85,6465.2
P0286,BrandB Film,Electronics,BrandC,31.01,43.94,29.43,1362.58
P0287,BrandC Arm,Apparel,BrandD,196.26,300.41,34.67,58958.47
P0288,BrandB Owner,Apparel,BrandA,144.63,281.92,48.7,40774.09
P0289,BrandA Toward,Home & Kitchen,BrandB,13.54,17.32,21.82,234.51
P0290,BrandA Ball,Home & Kitchen,BrandC,105.5,209.97,49.75,22151.84
P0291,BrandD Memory,Home & Kitchen,BrandA,151.89,193.2,21.38,29345.15
P0292,BrandC Use,Electronics,BrandC,58.28,106.04,45.04,6180.01
P0293,BrandD President,Personal Care,BrandD,179.45,259.84,30.94,46628.29
P0294,BrandB Whatever,Personal Care,BrandD,76.63,139.28,44.98,10673.03
P0295,BrandC Right,Electronics,BrandD,20.39,33.48,39.1,682.66
P0296,BrandB Popular,Home & Kitchen,BrandC,25.01,34.89,28.32,872.6
P0297,BrandC Staff,Home & Kitchen,BrandD,122.51,181.74,32.59,22264.97
P0298,BrandD Open,Home & Kitchen,BrandD,13.26,24.97,46.9,331.1
P0299,BrandC Involve,Personal Care,BrandC,129.7,235.06,44.82,30487.28
P0300,BrandA Still,Electronics,BrandD,75.85,138.12,45.08,10476.4
P0301,BrandB Those,Electronics,BrandB,170.49,291.59,41.53,49713.18
P0302,BrandD Player,Electronics,BrandB,18.11,32.61,44.46,590.57
P0303,BrandC Blood,Home & Kitchen,BrandD,190.15,214.71,11.44,40827.11
P0304,BrandB Treatment,Personal Care,BrandC,77.54,138.55,44.03,10743.17
P0305,BrandB Best,Home & Kitchen,BrandD,66.31,89.57,25.97,5939.39
P0306,BrandA Federal,Electronics,BrandB,102.31,148.17,30.95,15159.27
P0307,BrandA Him,Home & Kitchen,BrandC,142.29,184.0,22.67,26181.36
P0308,BrandC Adult,Personal Care,BrandB,28.91,53.99,46.45,1560.85
P0309,BrandD Partner,Apparel,BrandD,199.47,364.92,45.34,72790.59
P0310,BrandC Policy,Home & Kitchen,BrandA,112.25,152.81,26.54,17152.92
P0311,BrandC Sign,Apparel,BrandB,159.77,248.9,35.81,39766.75
P0312,BrandA Already,Apparel,BrandB,51.16,79.02,35.26,4042.66
P0313,BrandC Trial,Home & Kitchen,BrandD,161.71,258.17,37.36,41748.67
P0314,BrandA Check,Electronics,BrandC,82.64,144.23,42.7,11919.17
P0315,BrandD Gas,Personal Care,BrandD,165.55,193.09,14.26,31966.05
P0316,BrandC Start,Electronics,BrandD,95.84,150.05,36.13,14380.79
P0317,BrandB None,Apparel,BrandB,89.36,171.54,47.91,15328.81
P0318,BrandA Mean,Electronics,BrandB,64.3,80.1,19.73,5150.43
P0319,BrandB Role,Home & Kitchen,BrandC,169.96,225.29,24.56,38290.29
P0320,BrandC Summer,Apparel,BrandC,124.81,147.79,15.55,18445.67
P0322,BrandC Tree,Electronics,BrandA,20.84,40.71,48.81,848.4
P0324,BrandC Somebody,Home & Kitchen,BrandD,52.75,96.35,45.25,5082.46
P0325,BrandD Religious,Home & Kitchen,BrandD,19.23,22.19,13.34,426.71
P0326,BrandD Half,Personal Care,BrandD,95.57,134.39,28.89,12843.65
P0327,BrandB Head,Home & Kitchen,BrandC,148.17,277.77,46.66,41157.18
P0328,BrandD Worry,Apparel,BrandC,105.42,126.04,16.36,13287.14
P0329,BrandB Build,Personal Care,BrandA,57.16,75.63,24.42,4323.01
P0330,BrandA Trouble,Electronics,BrandC,189.35,355.55,46.74,67323.39
P0331,BrandD Machine,Apparel,BrandB,163.63,317.5,48.46,51952.52
P0333,BrandD Something,Home & Kitchen,BrandD,9.52,18.57,48.73,176.79
P0334,BrandD While,Apparel,BrandB,118.75,135.83,12.57,16129.81
P0335,BrandC Environment,Personal Care,BrandD,60.72,67.24,9.7,4082.81
P0336,BrandA Feel,Personal Care,BrandB,177.08,310.73,43.01,55024.07
P0337,BrandD Turn,Home & Kitchen,BrandA,83.11,134.08,38.01,11143.39
P0338,BrandB Read,Home & Kitchen,BrandC,19.34,30.05,35.64,581.17
P0339,BrandC Lawyer,Electronics,BrandB,195.14,283.83,31.25,55386.59
P0340,BrandC Group,Home & Kitchen,BrandB,43.82,68.28,35.82,2992.03
P0341,BrandA Now,Electronics,BrandA,31.72,44.4,28.56,1408.37
P0343,BrandC Computer,Home & Kitchen,BrandB,81.63,135.09,39.57,11027.4
P0345,BrandA Model,Home & Kitchen,BrandC,136.39,270.31,49.54,36867.58
P0346,BrandC And,Electronics,BrandD,56.78,95.96,40.83,5448.61
P0347,BrandB Camera,Electronics,BrandD,38.25,63.73,39.98,2437.67
P0348,BrandD Sport,Apparel,BrandB,11.16,21.8,48.81,243.29
P0349,BrandA Base,Apparel,BrandA,91.0,134.4,32.29,12230.4
P0350,BrandD Either,Apparel,BrandD,102.85,169.74,39.41,17457.76
P0351,BrandD Debate,Electronics,BrandB,106.14,170.33,37.69,18078.83
P0352,BrandD Place,Personal Care,BrandC,191.55,289.95,33.94,55539.92
P0353,BrandC Might,Home & Kitchen,BrandC,123.96,157.81,21.45,19562.13
P0356,BrandD Interest,Home & Kitchen,BrandC,61.12,98.78,38.13,6037.43
P0357,BrandD Animal,Personal Care,BrandC,191.15,348.69,45.18,66652.09
P0359,BrandD Machine,Home & Kitchen,BrandD,46.73,86.22,45.8,4029.06
P0360,BrandC Table,Home & Kitchen,BrandB,26.3,46.47,43.4,1222.16
P0361,BrandB Mrs,Apparel,BrandA,135.62,214.0,36.63,29022.68
P0363,BrandA Benefit,Apparel,BrandA,193.08,382.32,49.5,73818.35
P0364,BrandB Evidence,Personal Care,BrandD,98.1,125.52,21.85,12313.51
P0365,BrandC Through,Home & Kitchen,BrandC,130.95,251.05,47.84,32875.0
P0366,BrandA Yeah,Apparel,BrandA,183.08,230.23,20.48,42150.51
P0368,BrandC Major,Electronics,BrandA,63.19,103.79,39.12,6558.49
P0369,BrandC Piece,Home & Kitchen,BrandD,197.87,314.41,37.07,62212.31
P0370,BrandD Economy,Apparel,BrandD,58.2,106.39,45.3,6191.9
P0371,BrandC Range,Apparel,BrandD,131.42,229.56,42.75,30168.78
P0372,BrandA Or,Home & Kitchen,BrandC,115.72,206.16,43.87,23856.84
